headlines,text
Downloads enter US singles chart,"Billboard's Hot 100 chart now incorporates data from sales of music downloads, previously only assigned to a separate download chart.A spokesman for the British Phonographic Industry (BPI) said the first combined UK download and sales chart was due to be compiled ""within the first half of this year"".Digital music downloads are being included in the main US singles chart for the first time.Download sales are due to be incorporated into the UK singles chart later this year.Its second new chart - the Pop 100 - also combines airplay, digital and physical sales but confines its airplay information to US radio stations which play chart music.They will now be tallied with sales of physical singles and airplay information to make up its new Hot 100 chart.Digital sales in the US are already used to compile Billboard's Hot Digital Sales chart"
Top gig award for Scissor Sisters,"New York band Scissor Sisters have won a gig of the year award for their performance at this year's V Festival.The award was voted for by listeners of Virgin Radio, which compiled a top 10 which was mostly dominated by newcomers on the music scene this year.Glasgow's Franz Ferdinand earned a place at number nine for their home-town performance in April.At number seven was Oxfam's Make Fair Trade gig at London's Hammersmith Apollo in October, which featured performances by REM, Razorlight and Coldplay's Chris Martin"
Brits return Keane to number one,"The debut album, which took the best British album title at the Brits on Tuesday, moved up seven places from number eight to number one.Last week's number one album Tourist, by Athlete, fell to number three.There are currently six re-released Elvis' tracks occupying spots in the top 40 singles chart including Are You Lonesome Tonight at number 20, It's Now or Never at number 27 and Jailhouse Rock at number 37.Their self-titled album moved from 13 to number four.The track, from their current album How To Dismantle An Atomic Bomb, pushed Eminem's Like Toy Soldiers from number one to number three"
Charity single for quake relief,"He said the song was a slow ballad and would work with around 10 singers, rather than a ""sing-along"" like the Band Aid 20 single raising money for famine relief in Africa.They hope the song will raise more than £2m for the relief fund.Read wrote the song before the Boxing Day tragedy but had thought it was too gloomy to release.""It's a natural home for it because people kept saying to me, 'it's such a good song', but it's such a sad song,"" Read said.Read said all the funds raised by the record would go to the DEC. ""I'd only be pleased in terms of what it meant for sales if it got to number one,"" he added.Sir Cliff has recorded his vocal part in Barbados, while Boy George has recorded his in New York"
Franz man seeks government help,"The government shouldn't ""fund"" music - it should ""invest"" in music and those investments should be treated like any other investment.Yes the government should fund music - it brings joy to the masses.I do agree that the government should help to fund music but there is also a responsibility held by record companies!Areas of the arts are funded by government and lottery grants, so why not music?The solution Mr Kapranos should pursue would be privately-funded organizations, like Save the Music in the US.If Alex Kapranos genuinely thinks a multi-billion pound industry should also have government funding then his own education was seriously lacking and more money should be put into that.There is a great deal of money generated through pop music - perhaps a tax on pop could be ploughed into the public performance of other forms of music for everyone to enjoy.Perhaps we could financially penalise really bad Pop Idol-style music - that is, the music industry sector without any artistic merit or originality whatsoever and that which is specifically designed to line the pockets of music producers.As long as the Government was funding real talent it would be a great move.Pop music pretty much rules the earth, so more attention should go to the other fraternities  I agree with funding the arts to make it more accessible to the public but I am not convinced that pop music requires financial support from the taxpayer.Music should be government funded, particularly the work of modern composers and veteran bands/artists and stuff.We already have the opera receiving huge grants and it would clearly be beneficial for diversity in music to have the same opportunities in other areas of the music.Call it a tax on music ""pollution"", if you like.""But so-called commercial music would benefit from investment as well.""Franz Ferdinand frontman Alex Kapranos has called for more government help for musicians, while taking part in an Edinburgh Lectures discussion.Getting the government even more involved would only waste money that could be put to better use.I would hate to see more Pop Idol-type funding of music though, as it would only serve to reinforce the stereotypes that Alex talked about.However, the government has better things to spend its money on than to give charity to everyone who decides they're a musician.Kapranos said there was a general ""hostility"" towards classical music, adding: ""There is very little done to break that hostility other than Classic FM.""If they can fund football, why not fund music?The government has enough problems funding schools and health services.If labels were more willing to put money forward towards smaller breakthrough acts then the government wouldn't have to fork out a great deal.I think the issue is more fundamental: should the government be spending money on subsidising a multi-million pound industry when health and education are in such a sorry state?Kapranos joined the prestigious lecture series to discuss Scotland's role in making 21st Century music.Rather than expecting the government - i.e.Many years ago, this was the case with the US NEA, when the government started to question what was considered art for the money they were allotting"
Hard act to follow for OutKast,"But G Money acknowledges that making the next move for a band that has reached a pinnacle can be tough.The Georgia pair's year of critical and commercial triumph leaves them with a tough act to follow - what can be next for a musical act that has done it all?US rap duo OutKast's trio of trophies at the MTV Europe Awards crowns a year of huge success for the band.1Xtra's G Money says it took the latest album, released in 2003, for him to be ""assured of their genius"".Andre 3000 and Big Boi's album Speakerboxxx/The Love Below has been critically acclaimed since its release and sold in large quantities around the world.""But in a couple of years they will be back with another album which will be a collaboration unlike their double CD.""They have always been experimental, some of it has worked and some hasn't,"" he adds.But it took until 2001 for the pair to score their first hit in the UK with Ms Jackson, while their album Stakonia saw their fame spread beyond the US"
Sir Paul rocks Super Bowl crowds,"Organisers were widely considered to be playing it safe this year by booking 62-year-old Sir Paul for his second Super Bowl show.After the controversy last year - which saw CBS fined a record $550,000 (£292,000) by federal regulators - Super Bowl organisers had turned to producer Don Mischer to oversee this year's half-time show.Three years ago, he was invited to perform at the first Super Bowl after the September 11 attacks and performed his specially-written song Freedom.Sir Paul McCartney wowed fans with a live mini-concert at American football's Super Bowl - and avoided any Janet Jackson-style controversies.Finally, he closed the show with a rousing version of Hey Jude.The 62-year-old sang Hey Jude and other Beatles songs in a 12-minute set at half-time during the game in Florida.The singer removed his black jacket halfway through the show - but any fans hoping for a second ""Nipple-gate"" were to be disappointed as he kept his red sweatshirt on underneath"
Rock group Korn's guitarist quits,"The guitarist with US rock band Korn has quit the music business, saying he made the decision after experiencing a religious awakening.The remaining members of Korn, who are known for their hardcore brand of rock, said they hoped Welch ""finds the happiness he is looking for"".A replacement guitarist has yet to be named by Korn, who are currently at work on their eighth studio album.""Anger is a good thing, and if kids want to listen to Korn, good, but there's happiness after the anger,"" he told his local radio station in Bakersfield"
Vibe awards back despite violence,"Rapper Young Buck has been charged after allegedly stabbing a man who hit Dr Dre as he was about to receive a lifetime achievement award.Mr Johnson allegedly approached Dr Dre, who was seated at a table in front of the stage, and appeared to ask for an autograph before punching him.During the ensuing scuffle - which involved many of the 1,000-strong crowd - Mr Johnson was stabbed as he was being dragged away by security staff,Vibe magazine president Kenard Gibbs said the attack earlier this month in Santa Monica was ""sickening"""
'Christmas song formula' unveiled,"""Everybody says that Christmas number ones are formulaic, but Gonna Have a Number One this Christmas is the first song to crack the formula and combine all these elements into one ultimate Christmas track"" said Mr Roberts.Big festive hits over the years include Band Aid's Do They Know It's Christmas?, Slade's Merry Christmas Everybody, Wham's Last Christmas and Sir Cliff Richards' Mistletoe and Wine.The book's analysts commissioned chart prank group Moped to create the first Christmas single using the whole formula - the song is called Gonna Have a No 1 This Christmas by Moped Vs Santa.Band Aid 20's remake of Do They Know It's Christmas is set to be confirmed as number one in the charts on Sunday"
Glastonbury fans to get ID cards,"Fans who buy tickets for this year's Glastonbury festival will be issued with photo ID cards in an attempt to beat touts, it has been confirmed.More than 153,000 people are expected to travel to Mr Eavis' Somerset farm from 24-26 June, but the event's rising popularity has meant an extremely high demand for tickets in recent years.""There is only one place in the world where you will be able to get tickets,"" festival organiser Michael Eavis said.The cards will include a photograph of the ticket-holder plus an electronic chip with their details to prevent tickets being sold on or forged.In 2004, all 112,000 tickets for the public sold out in 24 hours.But some forgot to take the right information while some touts simply offered to supply their own bills along with the ticket bearing their name"
Queen recruit singer for new tour,"The remaining members of rock band Queen are to go on tour next year with former Free and Bad Company singer Paul Rodgers taking Freddie Mercury's place.Guitarist Brian May has said he expects to be on the road with Rodgers and drummer Roger Taylor from April.May said: ""Suddenly the Queen Phoenix is rising again from the ashes and will take precedence over... our lives.""Rodgers was singer with early 1970s rockers Free, who had a global hit with All Right Now, before forming Bad Company, a successful ""supergroup"" with members of King Crimson and Mott the Hoople.Queen have played with many different singers since Mercury's death in 1991 but have reportedly not toured"
U2 to play at Grammy awards show,"Irish rock band U2 are to play live at the Grammy Awards presentation in the US next month, organisers have said.The band, who are also dominated for best international album at this year's Brit Awards, are to undertake a major world tour this year, their first for four years.This year the Grammys have been dominated by rap star Kanye West, who is in contention for 10 awards.Other acts to play include soul singer Alicia Keys, country singer Tim McGraw and punk band Green Day at the event on 13 February in Los Angeles"
Rock band U2 break ticket record,"""We could have sold a million tickets.""U2 have smashed Irish box office records with ticket sales for their Dublin concerts, after more than 150,000 were sold within 50 minutes.Mr Green said that ticket outlets had been ""bombarded"" by U2 fans.However the majority of tickets, priced at between 59.50 and 80 euro each, were sold online.Earlier this week, Bono announced that the band would play two shows at the venue, which holds almost 80,000 people, due to the phenomenal demand for tickets"
Police praise 'courageous' Ozzy,"""I could have been badly injured or shot or anything,"" Osbourne said.His wife Sharon, who called the police, said her wedding rings were taken from her bedside table as she slept.Ozzy came from not a very nice part of Birmingham and everything we've got we have worked our arses off for.""A daisy chain necklace that was a 20th anniversary present and a Franck Muller watch Sharon said was one of only 10 made were also stolen.Police described the intruder as well-built, about 5' 10"" tall and said he was wearing a ski-mask, a light-coloured jacket and trainers.""Whilst selecting items of jewellery, the burglar was disturbed by Ozzy who very courageously tackled this burglar and pursued him from the house,"" he said.Rock star Ozzy Osbourne has been praised by police for ""very courageously"" tackling a burglar who stole jewellery from his house.Ozzy said he was ""just coming to grips"" with what had happened and his opinion of the UK had been lowered after 12 relatively trouble-free years in the US.""I acted on impulse,"" Osbourne said.Detective Inspector Paul Miller of Thames Valley Police said it appeared a man used a ladder to get into the house through a first floor bedroom window.The heavy metal star said he could have met the same fate as late Beatle George Harrison, who was repeatedly stabbed in a break-in in 1999.She said she wished she had worn them at night.""I wouldn't want anyone to get injured.""The singer grabbed an intruder who then jumped 30ft (10m) from a first floor window as the star gave chase at his Buckinghamshire home on Monday.""I just thank God that no-one got injured."
New York rockers top talent poll,"New York electro-rock group The Bravery have come top of the BBC News website's Sound of 2005 poll to find the music scene's most promising new act.Singer Sam Endicott said he felt ""great"" about coming top of the Sound of 2005 list.""The Bravery are proof alone that New York City is still home to hot new talent,"" he said.Chris Hawkins, host of BBC 6 Music's chart show, said the band had ""great guitars and a mastery of the electro-clash sound"".Elsewhere on the top 10, second-placed rock band Bloc Party began their rise after supporting Franz Ferdinand and UK garage MC Kano, in third, is signed to The Streets' record label.One of the experts to tip The Bravery was The Times' music critic Paul Connolly, who said they were ""spiky but in love with pop"".Other new artists in this year's list include London indie group Bloc Party at second and UK rapper Kano third.Rock band Keane won Sound of 2004 while US rapper 50 Cent topped Sound of 2003.The Bravery, who have been compared to The Cure and New Order, were the most heavily-tipped act in the survey of 110 impartial critics and broadcasters"
Blair buys copies of new Band Aid,"It is predicted that the Band Aid 20 song will sell 300,000 copies in the UK by the time the new chart is announced on Sunday.The original track was released in the US, and reached number 13 in the singles chart.US record shops are stocking an import version of Do They Know It's Christmas, which is said to be selling very well in Los Angeles and New York.Prime Minister Tony Blair purchased two copies of the charity single Band Aid 20 in Edinburgh on Friday.However, the new version of the 1984 single is not going to be released in the US, despite being sold in many countries around the world.But music fans in the US are still able to access the song and download it on Band Aid 20's official website.""Our customer helper approached him... it was only then we realised he wanted to buy copies of the Band Aid single, rather than the latest Eminem album.""It topped the US charts for three weeks and went on win Grammy awards for best record and song"
Eminem beats Elvis to number one,"Last week's number one, Elvis's It's Now or Never, slipped 13 places to number 14, but all five of his re-released songs are in the Top 40.Rapper Eminem has denied Elvis his fourth number one of the year, after his song, Like Toy Soldiers, stormed to the top of the singles charts.In the album charts, Athlete's latest offering Tourist claimed the top spot, toppling the Chemical Brother's Push The Button Down, which fell to number six.One World Project Tsunami fundraiser, Grief Never Grows Old, slipped four places to number eight"
Sir Paul rocks Super Bowl crowds,"Organisers were widely considered to be playing it safe this year by booking 62-year-old Sir Paul for his second Super Bowl show.After the controversy last year - which saw CBS fined a record $550,000 (£292,000) by federal regulators - Super Bowl organisers had turned to producer Don Mischer to oversee this year's half-time show.Three years ago, he was invited to perform at the first Super Bowl after the September 11 attacks and performed his specially-written song Freedom.Sir Paul McCartney wowed fans with a live mini-concert at American football's Super Bowl - and avoided any Janet Jackson-style controversies.Finally, he closed the show with a rousing version of Hey Jude.The 62-year-old sang Hey Jude and other Beatles songs in a 12-minute set at half-time during the game in Florida.The singer removed his black jacket halfway through the show - but any fans hoping for a second ""Nipple-gate"" were to be disappointed as he kept his red sweatshirt on underneath"
J-Lo and husband plan debut duet,"The tsunami tribute song will also feature Alicia Keys, Velvet Revolver and Tim McGraw.The awards show will also feature performances from U2, Green Day, Alicia Keys and Kanye West - but the Lopez and Anthony duet is likely to be one of the biggest talking points.Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.Anthony became Lopez's third husband in June 2004.There will also be a tribute to Ray Charles featuring Bonnie Raitt and Billy Preston and a celebration of southern rock with Tim McGraw, Gretchen Wilson, Lynyrd Skynyrd, Dickie Betts and Elvis Bishop.He is nominated this year for best Latin pop album and best salsa/merengue album"
Beastie Boys win sampling battle,"Mr Newton and the Beastie Boys were not available for comment.Although the group had paid a licence fee for the sample, Mr Newton said his copyright had been infringed.US rappers Beastie Boys have won their long-running battle over the use of a sample in their song Pass the Mic.""We hold that Beastie Boys' use of a brief segment of that composition, consisting of three notes separated by a half-step over a background C note, is not sufficient to sustain a claim for infringement of Newton's copyright,"" Chief Judge Mary Schroeder wrote in her opinion.A three-judge panel of the court held in 2003 that the band had abided by copyright protections by paying a licence fee for a sample of Mr Newton's recording"
Pupils to get anti-piracy lessons,"Music piracy, including illegally swapping music online, costs the UK music industry millions every year and has been blamed for a decline in world-wide CD sales.He said as well as educating children about music piracy, it would also protect young people planning a career in the music industry from ""unscrupulous"" individuals.The education pack, which has already been requested by more than 1,600 secondary schools, is aimed at giving children an understanding of copyright in relation to the music industry.Emma Pike, director general of British Music Rights, said: ""We believe that copyright is an essential part of teaching music in schools.Silvas said: ""I think it is so important that students gain an understanding of how the music industry works when they are at a young age.Lessons on music piracy and copyright issues are to be taught to secondary school pupils in the UK.""Technology is allowing people to create music and distribute their music to the public in a whole host of new ways.""British Music Rights (BMR) - which was formed to represent the interests of songwriters and composers - worked with education experts to put together a learning pack"
Spector facing more legal action,"Ms Clarkson's legal action, filed in Los Angeles Superior Court, also accuses Mr Spector of negligence and battery, alleging he ""grabbed, hit, fought with and restrained"" Lana Clarkson before shooting her to death.The legal action accuses Mr Spector of murdering the actress at his LA home.""However, Ms Clarkson and her family understand that the fair administration of justice takes time and in light of the numerous changes Mr Spector has made in his legal defence team over the last two years, Ms Clarkson was forced to file the action before (the statute of limitations expired) on 3 February 2005.""Mr Spector, known for his work with the Beatles, has claimed that Lana Clarkson committed suicide.Music producer Phil Spector is facing legal action from the mother of the actress he has been accused of killing.Donna Clarkson, whose daughter Lana was found dead in Mr Spector's home in February 2003, is seeking unspecified damages in a civil action"
Usher leads Billboard nominations,"Usher and Keys will be battling it out for prizes including artist of the year, Hot 100 songwriter of the year and Billboard 200 album of the year for their respective albums Confessions and The Diary of Alicia Keys.R&B singer Usher is leading the race for the Billboard awards with nominations in 13 categories, including best male.Maroon5 and OutKast are also up for artist of the year, while OutKast's Speakerboxxx/The Love Below is a finalist for Billboard 200 album of the year, alongside Josh Groban's Closer.The awards honour the year's leading artists and songs as determined by their performance on Billboard's weekly charts"
Eminem secret gig venue revealed,"The fourth album from the rap star was on sale for two days before it outsold all of its rivals.Eminem performed on HMS Belfast on Friday, which is docked on the River Thames, where he filmed two songs for BBC One's Top of the Pops.Eminem's latest album soared to the top of the US chart after just three days on sale in record shops.Rapper Eminem is to play an intimate gig in London on Saturday, following a show on the River Thames on Friday.The US star will play just two songs at a night showcasing his label Shady Records at the Islington Academy.The rapper was criticised earlier this year after a performance on BBC One's Top of the Pops in April led 12 viewers to complain he was ""lewd"" and ""offensive"""
"Beatles suits sell for $110,000","Auction spokesman Erik Simon said the Presley tapes were withdrawn because ""they did not meet the minimum price set by the owners"".And frankly, we could use the money,"" Mr Nogar's son Stephen, 57, said before the auction.A private collection of six tape recordings of Presley valued at between $30,000 (£16,000) and $50,000 (£27,000) did not meet their reserve price.He said the family of sound engineer Thorne Nogar did not want to divulge the price they had set or the offers they had received.The ""pre-masters"" include a take of Jailhouse Rock, religious songs, material for his first Christmas album, and banter between Presley, members of his band and Mr Nogar.""He called them his 'ass-saver' tapes,"" his son said"
OutKast win at MTV Europe Awards,"OutKast did lose out in the contest for best album - which was won by Usher, another award favourite.They won best group, best video and best song for hit Hey Ya!R&B singer Usher won best male and best album for Confessions, while UK rock band Muse were named best alternative act and best British artists.Linkin Park singer Chester Bennington described their prize for best rock band as ""quite an honour"" while Muse said their win for best alternative act was ""a real surprise for us"".Spears was named best female, sending a message of thanks on video saying the award ""means so much to me"".US hip-hop duo OutKast have capped a year of award glory with three prizes at the MTV Europe Music Awards in Rome.Also competing for best group had been the Beastie Boys, the Black Eyed Peas, D12 and Maroon 5.- picked up the prize for best pop act, beating Anastacia, Avril Lavigne, Robbie Williams and Britney Spears.OutKast will add their awards to the four they won at the US MTV Awards in August and three Grammys in February.Eminem's group, D12, were surprise winners in the best hip-hop category, beating the Beastie Boys, Jay-Z, Kanye West and Nelly.And Anastacia, Britney Spears, Maroon 5 and Ludacris had been on the shortlist for best song.Usher, who performed a duet with Alicia Keys, also beat off competition from Justin Timberlake, Jay-Z, Nelly and Robbie Williams to take the best male crown"
Oasis star fined for German brawl,"The fight continued outside, where ""one of the officers was kicked in the chest with full force by Liam Gallagher... and suffered minor injuries"", they said.But police said Gallagher kicked an officer in the chest and had large amounts of alcohol and drugs - possibly cocaine - in his blood.Gallagher lost two front teeth in the fight, which led to the band abandoning their German tour.Oasis singer Liam Gallagher has been fined 50,000 euros (£35,000) after a fight in a German hotel two years ago"
Disputed Nirvana box set on sale,"It was blocked by Courtney Love, the widow of Nirvana frontman Kurt Cobain, who did not want unreleased song You Know You're Right on the box set.A box set featuring 68 unreleased Nirvana tracks has gone on sale in the US, after years of legal wrangles.The legal fight centred on a studio recording of the unreleased track You Know You're Right, regarded by fans as one of the unreleased gems of Nirvana.This is not Nirvana unplugged.It's Nirvana unedited,"" said Cobain biographer Charles Cross"
Usher leads Soul Train shortlist,"Newcomer Ciara's four nominations include best female R&B-soul album and best R&B-soul or rap by a new artist.His Soul Train nominations include best male R&B-soul album and best male R&B-soul single for Confessions Part II.Usher's work with rappers Ludacris & Lil Jon won him nominations for best R&B-soul or rap music video and best R&B-soul or rap dance cut for the song Yeah!, while his duet with Keys, My Boo, earned the pair a nod for best R&B-soul single.Usher has already swept the board at the American Music Awards with four titles, including two best album awards.Keys' album The Diary of Alicia Keys was also up for best R&B-soul album by a female"
US charity anthem is re-released,"It has been re-issued as part of a two-disc DVD set, which will also feature footage from the recording session of the track in January 1985.It topped the charts in the US and UK, raising millions of dollars for African famine relief.The single was originally released in the US on 7 March 1985 and sold 800,000 copies in its first week"
Queen recruit singer for new tour,"The remaining members of rock band Queen are to go on tour next year with former Free and Bad Company singer Paul Rodgers taking Freddie Mercury's place.Guitarist Brian May has said he expects to be on the road with Rodgers and drummer Roger Taylor from April.May said: ""Suddenly the Queen Phoenix is rising again from the ashes and will take precedence over... our lives.""Rodgers was singer with early 1970s rockers Free, who had a global hit with All Right Now, before forming Bad Company, a successful ""supergroup"" with members of King Crimson and Mott the Hoople.Queen have played with many different singers since Mercury's death in 1991 but have reportedly not toured"
Band Aid 20 single storms to No 1,"It was released in the US, and reached number 13 in the singles chart.The new version of the Band Aid song Do They Know It's Christmas?The Band Aid Trust which was set up 20 years ago, when the original single was released, handed out $144m (£75m) to famine relief projects across Africa between January 1985 and November 2004.Proceeds from the sales of the Band Aid 20 single will go towards aid relief in Africa, in countries such as Ethiopia and Sudan.But music fans in the US are still able to access the song and download it on Band Aid 20's official website.The original version - which was the Christmas number one in 1984 - sold 750,000 copies in its first week and 3.5 million in total.The charity record is also tipped to be this year's Christmas number one.However, Band Aid 20 is not going to be released in the US, despite being sold in many countries around the world"
iTunes now selling Band Aid song,"Ipod owners can now download the Band Aid single from iTunes after Apple reached agreement with the charity.More than 72,000 copies of the new Band Aid single were sold on its first day of release on Monday, according to sales figures.But the single is now on sale for 79p - the usual cost of a song from iTunes - with Apple donating a further 70p to the charity for each song downloaded.Apple had been unwilling to raise the cost of the single in line with other download services, said Band Aid"
Court halts Mark Morrison album,"Premiership footballer and record company boss Kevin Campbell has gained a court injunction stopping R&B singer Mark Morrison from releasing an album.He signed to Mr Campbell's label a year ago and has released one single, with the label saying the album was due for release on 24 January.But Morrison is determined the album will be released on Monday.Now he is attempting to prevent Morrison releasing the album on Monday through another label.But Mr Campbell said he learned that Morrison planned to release the album through Jet Star, which is advertising it on its website.""I have always dreamt of starting a record label but now Mark Morrison has spoilt that dream for me.Morrison, who is now as well known for his brushes with the law than his music career, rose to fame with the 1996 single Return of the Mack.""Mark Morrison was given everything he asked for by 2 Wikid but it seems that he couldn't help but return to his old ways.The Everton striker signed Morrison to his fledging 2 Wikid Records label and claims he spent thousands of pounds producing his album Innocent Man"
Prince crowned 'top music earner',"Although she grossed more than Prince last year, Madonna remained in second place because of the ""monumental"" production costs of her tour.He kept Madonna in second place, as she earned $54.9m (£29.5m) while embarking on her global Re-Invention Tour.The singer's 2004 tour took $90.3m (£48.5m) in ticket sales and he sold 1.9 million copies of his latest album Musicology.The singer banked $56.5m (£30.4m) from concerts, album and publishing sales with his Musicology tour and album.Veterans Simon and Garfunkel were in 10th place, their comeback tour helping them earn $24.9m (£13.4m) last year"
Early Elvis recordings go on sale,"Nogar, who died in 1994 aged 72, always used to make two tapes of sessions as a back-up in case RCA producers wanted to make late changes to songs.The RCA tapes date from September 1956 to September 1957.The six unedited reel-to-reel tapes - which were owned by the engineer who recorded them - are valued at up to $50,000 (£29,000).""He called them his ass-saver tapes,"" his son said.""We've had them for a lot of years, and I think the people should enjoy them,"" Nogar's son Stephen, 57, said"
Parker's saxophone heads auction,"The sale, at Guernsey's Auction House in New York, will feature instruments from other musicians including John Coltrane and Benny Goodman.A saxophone belonging to legendary jazz musician Charlie Parker is expected to fetch up to $1m (£535,000) at an auction of jazz memorabilia next month.Organisers said the auction was the first in the US to be devoted to items belonging to jazz musicians.Other items that will be auctioned include unreleased tape recordings of music by Parker as well as handwritten sheet music by jazz composers John Coltrane and Theolonius Monk"
Comic Morris returns with sitcom,"Comedian Chris Morris, who created controversial TV show Brass Eye, is to return to screens with a new sitcom about a spoof London media worker.As well as Brass Eye, Morris was behind another news show satire, The Day Today, and dark sketch comedy Jam.A Brass Eye satire of the media handling of paedophilia sparked 2,500 complaints in 2001.Morris will direct and co-write Nathan Barley - a character from cult website TV Go Home - for Channel 4"
TV station refuses adoption show,"It was met with protests by the National Council for Adoption, which said it ""exploits"" sensitive emotions.The WRAZ-TV Fox affiliate in North Carolina was the only one of 182 stations to refuse Monday's show.A TV station in the US has refused to show a controversial new series where adopted children try and pick their birth father - and win a cash prize.""It exploits the sensitive emotions of adoption,"" said Thomas Atwood, president of the National Council for Adoption.""We just don't think adoption is a game show,"" said Tommy Schenck, WRAZ-TV's general manager, though he said his decision had not been influenced by public protests.Fox producers defended the show, saying it was a ""positive experience"".If she picks the correct man from the line-up, the contestant wins the jackpot prize of US$100,000 (£52,590)"
A-listers flock to Gervais sitcom,"Gervais admitted he was cautious about revealing who would be taking part until they had all signed on the dotted line.Hollywood actors Samuel L Jackson and Ben Stiller have signed up for Ricky Gervais' new sitcom, the comedian has told BBC News.We wanted people who would still be around in 20 years, not just the winner of Big Brother to take part.""He said Stiller and Jackson would be playing ""twisted"" versions of themselves in Extras and that the jokes about them ""would sail pretty close to the bone"".""We wanted actors who had iconic status but that we could also deconstruct,"" Gervais told BBC News.The comic and actor said he had drawn up an A-list of stars he wanted and all had agreed to be in it.Gervais and his writing partner Stephen Merchant are currently refining the scripts for the six-part series, in which Gervais plays a struggling actor who bitches about the stars.But he has met with Stiller and Jackson and they enjoyed the scripts enough to commit to it"
Campaigners attack MTV 'sleaze',"But a spokeswoman for MTV said it was ""unfair and inaccurate"" to single out MTV for criticism.Brent Bozell, PTC president and conservative activist said: ""MTV is blatantly selling raunchy sex to kids.""It's unfair and inaccurate to paint MTV with that brush of irresponsibility,"" she said.In its report - MTV Smut Peddlers: Targeting Kids with Sex, Drugs and Alcohol - the PTC said it witnessed 3,056 flashes of nudity or sexual situations and 2,881 verbal references to sex.The Parents Television Council (PTC), which monitors violence and sex on TV, said the cable music channel offered the ""cheapest form"" of programming.""Compared to broadcast television programmes aimed at adults, MTV's programming contains substantially more sex, foul language and violence - and MTV's shows are aimed at children as young as 12"
US actor 'found with gun residue',"But Mr Dowell also said the residue would have been present if Mr Blake fired a gun that night.But it may not have come from the shot that killed Bonny Lee Bakley in 2001, Mr Blake's murder trial was told by criminalist Steven Dowell.Mr Dowell told a Los Angeles court the residue may have come from Mr Blake's revolver, his gun collection, his presence at the crime scene or police.Mr Blake said he found Ms Bakley, 44, dead in a car after they left a restaurant.Witnesses have already told the trial Mr Blake ""stood out as being quite nervous and agitated"" at the restaurant before the murder"
EastEnders 'is set for US remake',"Plans to create a US soap based on the BBC's EastEnders have reportedly been drawn up by the Fox TV network.BBC comedy Coupling was remade with a US cast, but lost its primetime slot on the NBC network due to disappointing ratings.The original EastEnders was pulled from BBC America last year after it proved a failure in the ratings.It said scripts have been commissioned for a series about a community of working class people in of Chicago"
US 'to raise TV indecency fines',"Last year's Janet Jackson 'wardrobe malfunction' encouraged the FCC to impose tougher rules, but the US Congress adjourned last year without agreeing on a new level of fines.Entertainers could also be liable for fines under the proposed legisation from both US politcians and officials from the Federal Communications Commission (FCC).US politicians are proposing a tough new law aimed at cracking down on indecency and bad language on US TV.The exposure of Janet Jackson's breast at last year's Superbowl landed CBS with a $550,000 (£293,264) fine.The current maximum fine stands at $32,500 (£17,320) - 20 of the stations in the CBS network were each penalised these lesser amounts for the Jackson incident"
Eurovision 'greats' to do battle,"Stars of the Eurovision Song Contest from the show's 50-year history are to compete against each other to celebrate the contest's anniversary.The 50th anniversary special will be held in Denmark later this year because the Danish Broadcasting Corporation came up with the idea for the all-time contest.The 50th annual contest will be held in Kiev, Ukraine, in May, after Ukrainian singer Ruslana won last year.Fans will then vote as usual to pick the all-time best Eurovision song during the show in Denmark in October"
UK TV channel rapped for CSI ad,"The promotion material was sent in brown envelope of the type used by investigators in the series, a spin-off from the highly successful CSI: Crime Scene Investigation series, which also runs on Five.Five admitted it had sent out 55,000 promotion packs but had now stopped.Five said it had received 100 complaints but that it had been surprised at the reaction because it was ""obvious this material is promoting a drama"".Following complaints, the Advertising Standards Authority contacted Five to cease promotion of crime show CSI:NY"
X Factor show gets second series,"TV talent show The X Factor is to return for a second series after being recommissioned by ITV.""There's much more to come this series as we build towards the final next month and it's great to have secured this terrific format for our viewers for another series,"" she said.I predict series two will be even better,"" said Cowell.The final of the first series will take place on 11 December.The Pop Idol-style show votes off a group or contestant every week - the two that receive the lowest public vote have to perform a second time before the judges make a final decision"
Alicia Keys to open US Super Bowl,"It will be her first performance at the Super Bowl, which will be watched by millions in the US on 6 February.Sir Paul said: ""There's nothing bigger than being asked to perform at the Super Bowl.The game and show were watched by 144 million people in the US in 2003.Keys said she was ""very excited"", describing Charles as ""an artist I admire, miss and respect"".R&B star Alicia Keys is to open February's Super Bowl singing a song only previously performed there by Ray Charles and Vicki Carr.Charles, who died last year, attended the school as a child in 1937"
'Comeback' show for Friends star,"Comeback is the first 30-minute comedy series that the channel has picked up since the Sex And The City drew to the end of its six-year-run.HBO has been looking for its next big comedy hit since Sex And The City drew to a close in the US in February.And David Schwimmer (Ross) directed during his time on Friends, and has also worked on Joey.Matthew Perry, who played Chandler, has appeared on the West End stage, and has a film, The Beginning Of Wisdom, currently in production.Thirteen episodes of Comeback have been commissioned by cable channel HBO, home of hits such as Sex And The City"
