headlines,text
Japan turns to beer alternatives,"Asahi is predicting profits to rise 50% in 2005 as it launches a drink based on soybean peptides rather than malt.Japanese brewers are increasingly making money from beer-flavoured drinks rather than beer itself  Beer and spirits are heavily taxed in Japan, driving breweries to search for alternatives.Now, according to Asahi Breweries, the market for so-called ""beer-like"" drinks is set to grow 84% this year.But despite a record profit in 2004 of 30.6bn yen ($291m; £154m), up 31.8% on the previous year, Asahi is coming late to the market"
S Korean consumers spending again,"The country's economy has suffered from an overhang of personal debt after its consumers' credit card spending spree.The government last year tightened the rules for card lending to keep the card glut under control.Credit card debt is falling, with only one in 13 of the 48 million cards now in default - down from one in eight at the end of 2003.One of its biggest card issuers, LG Card, was rescued from collapse in December, having almost imploded under the weight of its customers' bad debts.Economic growth in 2004 was about 4.7%, with the central bank predicting 4% growth this year.Card use fell sharply last year, but is now picking up again with a rise in spending of 14.8% year-on-year"
German growth goes into reverse,"The figures confounded hopes of a 0.2% expansion in the fourth quarter in Europe's biggest economy.Germany's economy shrank 0.2% in the last three months of 2004, upsetting hopes of a sustained recovery.The ECB's mandate is to fight rising prices by boosting interest rates - and that could further threaten Germany's hopes of recovery.It said growth in the third quarter had been zero, putting the economy at a standstill from July onward.Germany has been reliant on exports to get its economy back on track, as unemployment of more than five million and impending cuts to welfare mean German consumers have kept their money to themselves"
Turkey-Iran mobile deal 'at risk',"Turkcell's mobile deal is the second Turkish investment in Iran to run into trouble.The company has said it is prepared to accept a minority stake if Iran will award it the mobile deal.Turkey's investment in Iran's mobile industry looks set to be scrapped after its biggest mobile firm saw its investment there slashed by MPs.Although the company's statement said it would continue to monitor developments, observers said they thought Turkcell was set to pull out of the $3bn deal.Iran's parliament voted by a large majority to cut Turkcell's stake in a new mobile network from 70% to 49%"
EU ministers to mull jet fuel tax,"European Union finance ministers are meeting on Thursday in Brussels, where they are to discuss a controversial jet fuel tax.Many EU ministers are thought to support the plan to tax jet fuel - tabled by France and Germany following the recent G7 meeting.It was keen to point out earlier this week that any new tax on jet fuel should not hurt the ""competitiveness of the airlines"".The EU said a tax would only be passed after full consultation with airlines"
Palestinian economy in decline,"Despite a short-lived increase in Palestinian jobs in 2003, the economy is performing well below its potential, said a World Bank report.According to the report, Intifada, Closures and Palestinian Economic Crisis: An Assessment, there is a close link between the number of closures - both border closures and internal closures between cities - and Palestinian economic problems.However, during the first half of this year, the Palestinian economy lost more than 22,000 jobs.The report said even more would be on the poverty line without an average of $950m a year from international donors, some of which goes towards job creation.Young people are particularly hard hit with 37% out of work, compared with 14% four years ago.But 104,000 new jobs were created last year during a brief easing of violence and closures"
China had role in Yukos split-up,"The revelation came as the Russian government said Rosneft had signed a long-term oil supply deal with China.""The two companies [Rosneft and CNPC] have agreed on the pre-payment for long-term deliveries,"" said Russian oil official Sergei Oganesyan.The Kremlin said on Tuesday that the $6bn which Russian state bank VEB lent state-owned Rosneft to help buy Yugansk in turn came from Chinese banks.The deal between Rosneft and CNPC is seen as part of China's desire to secure long-term oil supplies to feed its booming economy.The deal sees Rosneft receive $6bn in credits from China's CNPC.Reports said CNPC had been offered 20% of Yugansk in return for providing finance but the company opted for a long-term oil supply deal instead.China lent Russia $6bn (£3.2bn) to help the Russian government renationalise the key Yuganskneftegas unit of oil group Yukos, it has been revealed.But Yugansk was sold to a little known shell company which in turn was bought by Rosneft.Yugansk was sold for $9.3bn in an auction last year to help Yukos pay off part of a $27bn bill in unpaid taxes and fines"
Deadline nears for Fiat-GM deal,"Since then, however, Fiat cars have lost market share and the firm has piled up losses, while a plan to raise new money in 2003 cut GM's stake in half to 10%.The German firm wanted to buy Fiat outright.The deadline marks the point at which Fiat will gain the right to sell its car division to GM, part of an alliance agreed in 2000.The 2000 deal resulted from a race between GM and DaimlerChrysler to ally with Fiat.GM, whose own European operations are losing money, no longer wants to own the unprofitable Fiat unit"
ID theft surge hits US consumers,"The biggest slice of the 246,570 ID fraud cases reported - almost 30% - concerned abuses of people's credit.The total cost of fraud reported by consumers was $546m (£290m).Internet auctions were the second biggest source of fraud complaints, comprising 16% of the total.The Federal Trade Commission said two in five of the 635,173 reports it had from consumers concerned ID fraud.Catalogue and home-shopping frauds were next in line, accounting for 8% of total complaints, while concerns about internet services and computers - including spyware found on people's PCs and undisclosed charges for websites - amounted to 6% of complaints"
"Argentina, Venezuela in oil deal","Argentine President Nestor Kirchner and Venezuelan President Hugo Chavez signed the deal in Buenos Aires on Tuesday.Argentina and Venezuela have extended a food-for-oil deal, which helped the former to overcome a severe energy crisis last year.Last April, Argentina signed a $240m agreement to import Venezuelan fuel in exchange for agricultural goods and this deal has now been extended.President Chavez added that Brazil's Petrobras could join soon the co-operation deal.The two countries also formalised a co-operation deal between Venezuelan energy firm PDVSA and Argentina's Enarsa"
BMW to recall faulty diesel cars,"BMW is to recall all cars equipped with a faulty diesel fuel-injection pump supplied by parts maker Robert Bosch.The German company is to extend a planned production break at one of its plants due to the faulty Bosch part.The faulty part does not represent a safety risk and the recall only affects pumps made in December and January.Audi said it had been hit by production bottlenecks, due to a shortage of unaffected Bosch parts.A spokesman for DaimlerChrysler, parent company of Mercedes Benz, said it will however have to halt some production.Audi and Mercedes Benz were also supplied with the defective diesel fuel-injection pumps but neither of them have to recall any vehicles"
Takeover rumour lifts Exel shares,"Andrew Beh, of brokers ING, said UPS and Deutsche Post were the most likely bidders and an offer of 950p a share would be fair if a bidding battle did not break out.The talk in the City is that US giant United Parcel Services (UPS) is the most likely bidder for the firm.Yet other names mentioned in connection to buying Exel are DHL-owner Deutsche Post and finance firm GE Capital.Shares in storage and delivery firm Exel closed up 9% at a two-and-a-half year high on Tuesday on speculation it is to receive an imminent takeover bid"
Yukos accused of lying to court,"Russian oil firm Yukos lied to a US court in an attempt to stop the Russian government selling off its key production unit, the court has heard.Yukos argued that since it had a US subsidiary and local bank accounts, the US court could declare it bankrupt and stop the auction of Yugansk.But Deutsche Bank - itself a target of a Yukos lawsuit - said documents had been backdated to strengthen the case.Analysts have questioned whether a US court has any jurisdiction over Russian companies, while Moscow officials have dismissed Yukos' legal wrangling as meaningless.Its lawyer, Hugh Ray, told the court that Yukos had claimed it had transferred $27m into two Texas bank accounts opened by its new US subsidiary.Yukos chief financial officer Bruce Misamore, who had moved to the US in early December to set up Yukos USA, acknowledged the point.Deutsche Bank is involved in the case because it is itself being sued by Yukos.Yukos maintains that it filed for bankruptcy in the US because it feared it would not be able to do so in Russia.It had agreed to loan to an arm of Russian state gas firm Gazprom the money to bid for Yuganskneftegaz, as the Yukos unit is formally known.By doing so, he said, the firm had intended to reinforce its US presence - and thus its chances of getting its case heard in US courts"
Mexican in US send $16bn home,"Last year, there were 50.9 million transactions, with an average value of $327 per remittance, the bank said.The Bank of Mexico said that remittances grew 24% last year and now represent the country's second-biggest source of income after oil.Remittance charges are estimated to have dropped by between 50 and 60%, reports from the US Treasury and the Inter-American Development Bank have said.The Inter-American Development Bank estimates that remittances to Latin America and the Caribbean reached $45bn in 2004.Mexican labourers living in the US sent a record $16.6bn (£8.82bn) home last year"
Home loan approvals rising again,"Mortgage lending rose by £7.1bn in December, up from a £6.4bn rise in November.Changes to mortgage regulation may have artificially depressed figures in November, thus flattering the December figures, analysts said.""The modest rise in mortgage approvals and lending in December reinforces the impression that the housing market is currently slowing steadily rather than sharply,"" said Global Insight analyst Howard Archer, commenting on the BoE's figures.Separately, the Bank of England said that consumer credit rose by £1.5bn in December, more than the £1.4bn expected and above the £1.4bn reported in the previous month"
Manufacturing recovery 'slowing',"The survey is more upbeat than official figures - which suggest that manufacturing is in recession - but analysts said the survey did suggest that the manufacturing recovery was running out of steam.The Chartered Institute of Purchasing and Supply (CIPS) said its purchasing manager index (PMI) fell to 51.8 from a revised 53.3 in December.UK manufacturing grew at its slowest pace in one-and-a-half years in January, according to a survey.The CIPS said that the strong pound had dented exports while rising oil and metals prices had kept costs high"
Worldcom boss 'left books alone',"During cross examination, he asked Mr Myers if he ever knew Mr Ebbers ""make an accounting decision?"".""Not that I am aware of,"" Mr Myers replied.""Did you ever know Mr Ebbers to make an accounting entry into Worldcom books?""Mr Myers has admitted that he ordered false accounting entries at the request of former Worldcom chief financial officer Scott Sullivan.David Myers made the comments under questioning by defence lawyers who have been arguing that Mr Ebbers was not responsible for Worldcom's problems.Defence lawyers have been trying to paint Mr Sullivan, who has admitted fraud and will testify later in the trial, as the mastermind behind Worldcom's accounting house of cards.Mr Myers has already pleaded guilty to fraud and is assisting prosecutors.Former Worldcom boss Bernie Ebbers, who is accused of overseeing an $11bn (£5.8bn) fraud, never made accounting decisions, a witness has told jurors"
Metlife buys up Citigroup insurer,"US banking giant Citigroup has sold its Travelers Life & Annuity insurance arm to Metlife for $11.5bn (£6.1bn).The company will pay between $1bn and $3bn in Metlife stock with the rest being made up of cash.Travelers had sales of $5.2bn in 2004 and made a profit of $901m.For Metlife, the US's leading insurance company, the purchase gives it access to a much larger distribution network.It has total net assets of $96bn"
Europe blames US over weak dollar,"The comments come a day after US Treasury Secretary John Snow said a strong dollar was ""in America's interest"".US officials were talking up the dollar, they said, but failing to take action to back up their words.But analysts said the respite was likely to be only temporary.Nicolas Sarkozy of France said he and his colleagues were unanimous in their worry that the decline of the dollar would hit Europe's economies by eating into their exports.At 0619 GMT on Tuesday, the dollar was up slightly at just above $1.29 to the euro, and buying 105.6 yen in Tokyo.Meeting in Brussels, finance ministers of the 12 eurozone countries voiced their concern that the rise of the european currency was harming exports.European leaders have openly blamed the US for the sharp rise in the value of the euro.The European ministers' comments, said Junya Tanase of JPMorgan Chase bank in Tokyo, were ""generally too weak to produce a market reaction"""
French wine gets 70m euro top-up,"The French government is to hand its struggling wine industry 70m euros ($91m) in aid to help it battle falling sales and damaging overproduction.The support is designed to make French producers more competitive in the face of increasing global consolidation across the wine industry.The French wine industry, the world's second largest, has been hit by declining consumption at home and the growing popularity of New World wines.Efforts to promote French wine abroad are to be boosted by an extra 3.5m euros in funding.A further 15m euros will be made available to wine cooperatives, which make up the majority of French producers, in low interest loans.However, wine makers and farmers said the support was much less than they had been hoping for.The government will also seek European Union approval to distil about 250 million litres of excess wine into alcohol, with vintners receiving compensation.Wine makers, however, claimed the support did not go far enough"
Russia gets investment blessing,"""These improvements are so significant that they now outweight the serious and growing political risk that continues to be a key ratings constraint on Russia,"" wrote S&P credit analyst Helena Hessel.Instead, with Russian government coffers brimming with tax revenues from energy sales, S&P said the government's own debt is looking a good bet.Soaring oil sales and a budget surplus mean Russian debt is no longer a risky investment, one of the world's leading credit rating agencies says.The other two major ratings agencies - Fitch and Moody's have long since upped their rating of Russia's sovereign debt.But the agency made it clear that the improved rating did not mean that the risks were a thing of the past.S&P said the solidity of government finances outweighed the risk.Standard & Poor's has classed Russian bonds as ""investment grade"", up from their former ""speculative"" rating"
Iranian MPs threaten mobile deal,"Conservatives in parliament say Turkcell's stake in Irancell, the new network, should be cut from 70% to 49%.Turkcell signed a contract for the new network in September.Iran currently has only one heavily congested mobile network, with long waiting lists for new subscribers.They say that Turkcell is a security risk because of alleged business ties with Israel.Turkcell said the ruling would ""make more difficult... Turkcell's financial consolidation of Irancell"" because its stake would be reduced to less than 50%.The firm has refused to comment on whether it has business dealings in Israel, although like almost all GSM operators worldwide it has an interconnection deal with Israeli networks so that its customers can use their phones there.Turkcell now says it may give up on the deal altogether.Telecoms is one of two areas specifically targeted by the new veto law on foreign investments, passed earlier in September"
Argentina closes $102.6bn debt swap,"Argentina is set to close its $102.6bn (£53.51bn) debt restructuring offer for bondholders later on Friday, with the government hopeful that most creditors will accept the deal.By 18 February, creditors holding $41bn - or 40% of the total debt - had accepted the offer.The country has been in default on the $102.6bn - based on an original debt of $81.8bn plus interest - for the past three years.About 70% to 80% of bondholders are expected to accept the terms of the offer.Argentina defaulted on its debt three years ago, the biggest sovereign default in modern history.The estimated loss to bondholders is up to 70% of the original value of the bonds, yet the majority are expected to accept the government's offer"
US economy shows solid GDP growth,"Growth was at an annual rate of 4% in the third quarter of 2004 and for the year it came in at 4.4%, the best figure in five years.In the final quarter of 2004, businesses increased spending on capital equipment and software by 18%, up from 17.5% in the third quarter.In the January-to-March quarter, the economy is expected to grow at an annual rate of about 4%, economists forecast.The US economy has grown more than expected, expanding at an annual rate of 3.8% in the last quarter of 2004"
Profits slide at India's Dr Reddy,"Sales in Dr Reddy's generics business fell 8.6% to 966m rupees.Profits at Indian drugmaker Dr Reddy's fell 93% as research costs rose and sales flagged.Dr Reddy's has built its reputation on producing generic versions of big-name pharmaceutical products.The firm said its profits were 40m rupees ($915,000; £486,000) for the three months to December on sales which fell 8% to 4.7bn rupees.Dr Reddy's Indian competitors are gathering strength although they too face heavy competitive pressures"
Burren awarded Egyptian contracts,"British energy firm Burren Energy has been awarded two potentially lucrative oil exploration contracts in Egypt.Burren Energy already has a presence in Egypt, having been awarded an exploration contract last year.The £13.8m deal gives Burren Energy access to the Indian oil and gas industry"
'Strong dollar' call halts slide,"The US dollar's slide against the euro and yen has halted after US Treasury Secretary John Snow said a strong dollar was ""in America's interest"".Higher growth in Europe is regarded by US officials as a way the huge US current account deficit - that has been weighing on the dollar - could be reduced.US officials have also said that other economies need to grow, so the US is not the main global growth engine.The dollar was trading at $1.2944 against the euro at 2100GMT, still close to the $1.3006 record level set on 10 November.Some analysts maintain the US is secretly happy with a lower dollar which helps makes its exports cheaper in Europe, thus boosting its economy.But analysts said any gains are likely to be short-lived as problems with the US economy were still significant.A weak dollar helps boost exports and narrow the current account deficit.When a major part of the global economy is below potential there are negative consequences... for the citizens of those economies... and for their trading partners,"" he said.Economists say that the fundamentals, or key indicators, of the US economy are looking far from rosy.Mr Snow's comments may have helped shore up the dollar on Monday, but he was careful to qualify his statement"
IMF 'cuts' German growth estimate,"The IMF will also reduce its growth estimate for the 12-member eurozone economy from 2.2% to 1.6%, the newspaper reported.The IMF's draft World Economic Outlook - due to be published in April - would point to a marked deterioration in Germany's economy, the FT report said.In September, the IMF had said that German growth for the current year would be 1.8%.The IMF has also revised eurozone forecasts, the paper said, taking into account high oil prices, the strength of the euro and weak demand in many of the world's leading economies"
"GM, Ford cut output as sales fall","US sales at GM sank 12.7% in February compared to a year ago while Ford sales dropped 3% as foreign rivals took a bigger share of the market.In 2003, the firm launched an ambitious plan to triple US sales by 2007 as it seeks to become a bigger player in the Asian assault on the US market.Chrysler, the US unit of Germany's DaimlerChrysler, was the only Detroit based automaker to boast an increase in market share during the month - with sales rising 8%.GM added that US truck sales fell 9% in February while car business tumbled 17%, however it did acknowledge that some new products - such as the Pontiac G6 and Chevrolet Cobalt - had put in solid performances.While Japan's top car maker Toyota and Nissan saw sales accelerate, even the smaller Suzuki Motor Corp snapped up a more business with sales improving 17.6% on a year ago.US car firms General Motors (GM) and Ford have been forced to cut production in the face of falling car sales.Meanwhile, Ford which posted its ninth consecutive drop in monthly US sales, said it was cutting first-quarter North American production by another 10,000 vehicles, or 1.2%"
Ebbers denies WorldCom fraud,"Mr Ebbers relationship to Mr Sullivan is key to the case surrounding financial corruption that led to the collapse of the firm in 2002 following the discovery of an $11bn accounting fraud.During his time on the witness stand Mr Sullivan repeatedly told jurors he met frequently with Mr Ebbers, told him about changes made to WorldCom's accounts to hide costs and had warned him such practises were improper.Mr Ebbers has denied charges of fraud and conspiracy.During his second day of questioning in the New York trial Mr Ebbers played down his working relationship with Mr Sullivan and denied he frequently met him to discuss company business when questioned by the prosecution.However during the case on Tuesday Mr Ebbers denied the allegations.Speaking in court, Mr Ebbers rejected allegations he pressured ex-chief financial officer Scott Sullivan to falsify company financial statements.Mr Sullivan ""made accounting decisions,"" he told the federal court, saying his finance chief had ""a keen command of the numbers"""
Australia rates at four year high,"The Reserve Bank of Australia lifted interest rates 0.25% to 5.5%, their first upwards move in more than a year.However, opposition parties and some analysts said the move was ill-timed given data showing the Australian economy grew just 0.1% between October and December and 1.5% on an annual basis.""That 1.5% annual growth rate is the lowest we have seen since the post-election slump we saw back in 2000-1,"" said Michael Blythe, chief economist at the Commonwealth Bank of Australia.The Bank said it had acted to curb inflation but the move was criticised by some analysts.The Australian government said the economy remained strong with unemployment at a near 30 year low.Australia is raising its benchmark interest rate to its highest level in four years despite signs of a slowdown in the country's economy.Stock markets had factored in the likelihood of a rate rise but analysts still expressed concern about the strength of the economy"
US company admits Benin bribery,"A US defence and telecommunications company has agreed to pay $28.5m after admitting bribery in the West African state of Benin.The Titan corporation was accused of funnelling more than $2m into the 2001 re-election campaign of President Mathieu Kerekou.The SEC had accused Titan of illegally paying $2.1m to an unnamed agent in Benin claiming ties with President Kerekou.At the time, Titan was trying to get a higher price for a telecommunications project in Benin.Titan, a California-based company, pleaded guilty to falsifying its accounts and violating US anti-bribery laws"
"US insurer Marsh cuts 2,500 jobs","""Clearly 2004 was the most difficult year in MMC's financial history,"" Marsh chief executive Michael Cherkasky said.Marsh did not say when the move would take place, but said it had signed a letter of intent.An ongoing restructuring drive at the group also led to a $337m hit in the fourth quarter, the world's biggest insurer said.The insurer said the cuts were part of a cost-cutting drive, aimed at saving millions of dollars.In an effort to reform its business practises, Marsh said it has already introduced new leadership, new compliance procedures and new ways of dealing with customers.As part of its efforts to cut costs, the company said it was halving its dividend payment to 17 cents a shares from 34 cents, a move which should enable it to save $360m.Under the settlement announced in January, Marsh took a pre-tax charge of $618m in the October-to-December quarter, on top of the $232m charge from the previous quarter.Marsh posted a $676m (£352m) loss for the last three months of 2004, against a $375m (£195.3m) profit a year before"
US seeks new $280bn smoker ruling,"Government lawyers said they would ask the full US Court of Appeals for the District of Columbia to hear the case.Prosecutors contend that executives from the major tobacco firms met and agreed to present a unified strategy denying the harmful effects of smoking.The court room battle is seen as key in government attempts to fight smoking.Prosecutors had argued that tobacco firms lied about the dangers of smoking, ignored research that highlighted problems, looked to increase addiction by manipulating nicotine levels and targeted the young with their adverts.Government lawyers have until 21 March to file their appeal.The US Justice Department is to try to overturn a court ruling that threw out its claim for $280bn (£149bn) in damages from tobacco firms.The tobacco companies denied the charges, saying that they never illegally conspired to promote smoking and fool the public"
Budget Aston takes on Porsche,"The Vantage is ""the most important car in the history of our company"", said Aston's chief executive Ulrich Bez.Development costs for the Vantage have been kept low by sharing a platform with Aston's DB9, which Mr Bez described as ""the previous most important car for our company"".Mr Bez - himself a former executive at rival Porsche - said the new car was the company's ""most affordable car ever and makes the brand accessible"".Aston - whose cars were famously used by James Bond - will unveil the Vantage at the Geneva Motor Show on Thursday"
Golden rule 'intact' says ex-aide,"Mr Balls rejected the allegation that Mr Brown had been sidelined in the election campaign, saying he was playing a ""different"" role to the one he played in the last two elections.""I don't believe it would be a big election issue in Britain or a problem for Labour,"" Mr Balls said.Any rate rise ahead of an expected May election would not affect the Labour Party's chances of winning, he added.Commenting on speculation of an interest rate rise, he said it was not within the remit of the Bank of England's Monetary Policy Committee (MPC) to factor a potential election into its rate decisions.Gordon Brown's decision to announce the date of the Budget while on a trip to China was a ""sensible thing to do"", since he was talking about skills and investment at the time, Mr Balls told the BBC.Formerly one of Mr Brown's closest Treasury aides, Ed Balls hinted at a Budget giveaway on 16 March"
Liberian economy starts to grow,"""The IMF team stands ready to assist the (Liberian) authorities in strengthening the areas mentioned,"" said the report.These matters are now being investigated by the Liberian authorities and the IMF has called for their findings to be made public.The Liberian economy started to grow in 2004, but ""sustained and deep reform efforts"" are needed to ensure long term growth, the International Monetary Fund (IMF) has said.An IMF mission made the comments in a report published following 10 days of talks with the transition government.The IMF said that, according to data provided by the Liberians, the country's GDP rose by 2% in 2004, after a 31% decline in 2003"
Slowdown hits US factory growth,"""February was another good month in the manufacturing sector,"" said ISM survey chairman Norbert Ore.  ""While the overall rate of growth is slowing, the overall picture is improving as price increases and shortages are becoming less of a problem.Although the index was lower than in January, the fact that it held above 50 shows continued growth in the sector.Of the 20 manufacturing sectors surveyed by ISM, 13 reported growth.The Institute for Supply Management (ISM) index fell to 55.3 in February, from an adjusted 56.4 in January"
Lufthansa flies back to profit,"German airline Lufthansa has returned to profit in 2004 after posting huge losses in 2003.The board of Lufthansa has recommended paying a 2004 dividend of 0.30 euros per share.In a preliminary report, the airline announced net profits of 400m euros ($527.61m; £274.73m), compared with a loss of 984m euros in 2003.Last year, Lufthansa showed signs of recovery even as some European and US airlines were teetering on the brink of bankruptcy"
Japanese growth grinds to a halt,"The growth falls well short of expectations, but does mark a sixth straight quarter of expansion.The first quarter showed annual growth of 6.3%, with the second showing 1.1%, and economists had been predicting as much as 2% this time around.The effect was to leave the economy more dependent than ever on exports for its recent recovery.The economy had stagnated throughout the 1990s, experiencing only brief spurts of expansion amid long periods in the doldrums.Growth in Japan evaporated in the three months to September, sparking renewed concern about an economy not long out of a decade-long trough.But high oil prices have knocked 0.2% off the growth rate, while the falling dollar means products shipped to the US are becoming relatively more expensive"
Unilever shake up as profit slips,"The company also said it planned to spend 500m euros this year buying back shares.Sales of ice cream and frozen food dipped by 3.4% In the US last year, revenue grew by 1.5% ""despite disappointing sales in Slimfast"", the company said.Unilever said European sales fell 2.8% last year, dragged down by below part sales at its beverage division, where revenues dipped by almost 4%.The company said the organizational changes would speed decision making, and it also may make further changes.Unilever, which owns brands including Dove soap, said annual pre-tax profit fell 36% to 2.9bn euros (£1.99bn).But looking ahead, Unilever said it was optimistic about prospects for its slimming products saying that demand is on the wane for rival low-carbohydrate diets.""While it is certainly the case that markets have been tougher in the past eighteen months than we had expected, we have also lost some market share,"" said Mr Cescau.The company also cited difficult trading conditions and a lack of demand for goods such as its Slimfast range.""The best part of the news this morning was that the company announced a structure simplification,"" said Arjan Sweere, an analyst at Petercam.Unilever took a 1.5bn euro one-time charge in the fourth quarter, including a 650m euro write-down on Slimfast diet foods"
France Telecom gets Orange boost,"France Telecom, one of the world's largest telecoms and internet service providers, saw its full-year sales rise 2.2% to 47.2bn euros in 2004.Increased take-up of broadband telecoms services also boosted France Telecom's profits, which showed a 5.5% rise to 18.3bn euros ($23.4bn; £12.5bn).France Telecom is to spend 578m euros on buying out minority shareholders in data services provider Equant.France Telecom is consolidating its interest in Equant, which provides telecoms and data services to businesses.An ill-fated expansion drive in the late 1990s saw France Telecom's debt soar to 72bn euros by 2002.Strong growth in subscriptions to mobile phone network Orange has helped boost profits at owner France Telecom"
Brussels raps mobile call charges,"Vodafone and O2, Britain's other big mobile phone operator, were sent similar statements of objections by the Commission in July last year.The European Commission has written to the mobile phone operators Vodafone and T-Mobile to challenge ""the high rates"" they charge for international roaming.The Commission's investigation into Vodafone and Deutsche Telekom's T-Mobile centres on the tariffs the two companies charge foreign mobile operators to access their networks when subscribers of those foreign operators use their mobile phones in Germany.""The Commission aims to ensure that European consumers are not overcharged when they use their mobile phones on their travels around the European Union,"" the Commission said in a statement.Vodafone sent the Commission a response to those allegations in December last year and is now waiting for a reply.In letters sent to the two companies, the Commission alleged the firms were abusing their dominant market position in the German mobile phone market.The Vodafone spokesman said a similar process would be set in motion with these latest statement of objections about its operations in Germany"
WorldCom director admits lying,"Mr Sullivan, 42, has already pleaded guilty to fraud and will be sentenced following Mr Ebbers' trial, where he is appearing as a prosecution witness.Mr Sullivan claims that Mr Ebbers refused to stop the fraud.Mr Weingarten has suggested that Mr Sullivan is implicating Mr Ebbers only to win a lighter sentence, something Mr Sullivan denies.Mr Sullivan also rejects a suggestion that he had once told fellow WorldCom board member Bert Roberts that Mr Ebbers was unaware of the accounting fraud at WorldCom.Mr Ebbers is on trial for fraud and conspiracy in relation to WorldCom's collapse in 2002.The trial of Mr Ebbers is now into its third week.In the New York court on Wednesday, Mr Ebbers' lawyer Reid Weingarten asked Mr Sullivan: ""If you believe something is in your interest, you are willing and able to lie to accomplish it, isn't that right?""Mr Ebbers, 63, has always insisted that he was unaware of any hidden shortfalls in WorldCom's finances"
Glaxo aims high after profit fall,"Mr Garnier said the company had absorbed over £1.5bn of lost sales to generics but still managing to grow the business.Chief executive Jean-Pierre Garnier said it had been a ""difficult year"".""2005 will also be an important year in terms of research and development pipeline progress.""However, the firm discontinued development of an experimental treatment for obesity, known as '771, after disappointing clinical trial results"
Japan bank shares up on link talk,"Shares of Sumitomo Mitsui Financial (SMFG), and Daiwa Securities jumped amid speculation that two of Japan's biggest financial companies will merge.SMFG President Yoshifumi Nishikawa said that the companies needed to bolster their businesses.Combining SMFG, Japan's third-biggest lender, and Daiwa, the country's second-largest brokerage firm, would create a company with assets of more than $1,000bn (£537bn).SMFG shares climbed by 2.7% to 717,000, and Daiwa added 5.3% to 740 yen.Daiwa said that ""although it is true that the two groups have been engaging in various discussions to enhance cooperation, there are no plans to enter into negotiations to consolidate the two businesses"""
Car giant hit by Mercedes slump,"For the year as a whole, its operating profits fell 46% to 1.6bn euros.The US division - whose marques include Dodge and Jeep - transformed a full year operating loss of 506m euros in 2003 into a 1.4bn euros profit last year.Mercedes' profits over the period compared unfavourably with 2003's 784m euro figure and were well below analyst expectations of 374m euros.The German-US carmaker saw fourth quarter operating profits fall to 785m euros ($1bn) from 2.4bn euros in 2003.Mercedes is hoping to increase productivity by 3bn euros, having negotiated 500m euros in annual savings with German workers last year.A slump in profitability at luxury car maker Mercedes has prompted a big drop in profits at parent DaimlerChrysler.Chrysler's strong performance helped the world's fifth largest carmaker boost net income by 400m euros to 2.5bn euros.The carmaker blamed the fall in profits on high launch costs for new models and losses from its Mercedes Smart mini-car range.Sales of Mercedes' brands fell 2% as demand cooled, while revenues were affected by the weakness of the US dollar"
Ericsson sees earnings improve,"For the whole of 2004, Ericsson returned a net profit of 19bn kronor, compared with a loss of 10.8bn kronor in 2003.Operating profit in the three months to 31 December was 9.5bn kronor (£722m; $1.3bn) against 6.3bn kronor last year.However, the company remained optimistic about its earnings outlook after sales in the fourth quarter rose 9% to 39.4bn kronor.Sales climbed to 131.9 billion kronor from 117.7bn kronor in 2003.Ericsson shares dropped 5.9% to 20.7 kronor in early trading on Thursday"
Bank opts to leave rates on hold,"Slower consumer spending and a quieter housing market are likely to have convinced the MPC that rates should be left unchanged in recent months.Howard Archer, economist at Global Insight said the MPC ""may well consider that the balance of risks to the growth and inflation outlook have moved from the downside to the upside"".Economists see next week's inflation report from the MPC as key in assessing whether a further interest rate rise is necessary to keep the economy in check.Interest rates rose five times between November 2003 and August 2004 as soaring house prices and buoyant consumer data sparked inflation fears.Philip Shaw, chief economist at Investec Securities, said he believed rates would remain at 4.75% for the rest of the year although strong economic data could lead to a further hike.The British Chambers of Commerce (BCC) said it was ""concerned by the clamour in some quarters"" for early interest rate increases.The Bank of England has left interest rates on hold at 4.75% for a sixth month in a row.Data on Wednesday also showed manufacturing output rose at its fastest rate since May last month, reinforcing a view that economic growth was stronger than forecasts.""Growth appears stronger and the MPC may become more concerned about inflation trends."
Nigeria to boost cocoa production,"The government of Nigeria is hoping to triple cocoa production over the next three years with the launch of an ambitious development programme.Analysts said high tech-production techniques and crop spraying introduced by the government led to the huge crop, pushing production closer to levels seen in the 1960s when the country was the world's leading cocoa grower.""People who are not farming will hijack the subsidy,"" said Joshua Osagie, a cocoa farmer from Edo state told Reuters.Nigeria is currently the world's fourth-largest cocoa producer.Cocoa was the main export product in Nigeria during the 1960s.But with the coming of oil, the government began to pay less attention to the cocoa sector and production began to fall from a peak of about 400,000 tonnes a year in 1970"
